Abbreviation,Term,Definition
ACI,Autonomic Computing Initiative,A framework to develop self-managing computing systems :cite:`chatgpt2024`.
AEs,Autonomic Elements,Independent components that implement self-management functions :cite:`chatgpt2024`.
AM,Autonomic Manager,A system component that manages resources automatically :cite:`chatgpt2024`.
FHE,Fully Homomorphic Encryption,An encryption scheme that allows computation on encrypted data.
FaaS,Function As A Service,Provide a virtual environment for computer systems that can be dynamically scaled up and down.
IaaS,Infrastructure As A Service,Cloud-based virtualized computing resources such as servers and storage :cite:`chatgpt2024`.
IoE,Internet Of Everything,"A network connecting people, devices, and data for smarter interactions :cite:`chatgpt2024`."
MAPE,Monitor Analyse Plan Execute,A loop process used for autonomic computing systems :cite:`chatgpt2024`.
PaaS,Platform As A Service,A cloud service model that provides a platform for app development :cite:`chatgpt2024`.
QoE,Quality Of Experience,User satisfaction with a service's overall performance :cite:`chatgpt2024`.
QoS,Quality Of Service,The performance standard for a network or service :cite:`chatgpt2024`.
SARSA,State Action Reward State Action,An algorithm for reinforcement learning :cite:`chatgpt2024`.
SLOs,Service Level Objectives,Specific targets for service performance within slas :cite:`chatgpt2024`.
SaaS,Software As A Service,A cloud model delivering software via the internet :cite:`chatgpt2024`.
TEE,Trusted Execution Environment,A secure area of a processor for trusted operations :cite:`chatgpt2024`.
V2X,Vehicle To Everything,Communication between vehicles and external systems :cite:`chatgpt2024`.
X,Autonomous Computing,Computing systems capable of managing themselves :cite:`chatgpt2024`.
X,Multi-View Learning,TODO
X,Multi-Task Learning,TODO
